filename	score
dev-clean_1272_128104_000001_000000	-0.3733828365802765
dev-clean_1272_128104_000003_000000	-2.621898889541626
dev-clean_1272_128104_000003_000001	-2.7765321731567383
dev-clean_1272_128104_000003_000002	-2.7344017028808594
dev-clean_1272_128104_000003_000003	-2.677091360092163
dev-clean_1272_128104_000003_000005	-2.9155385494232178
dev-clean_1272_128104_000005_000000	-2.9337642192840576
dev-clean_1272_128104_000005_000001	-2.9987714290618896
dev-clean_1272_128104_000005_000006	-2.9608309268951416
dev-clean_1272_128104_000005_000007	-2.938248634338379
dev-clean_1272_128104_000005_000008	-3.0343472957611084
dev-clean_1272_128104_000005_000009	-2.346186637878418
dev-clean_1272_128104_000005_000013	-2.9331741333007812
dev-clean_1272_128104_000005_000014	-2.3877017498016357
dev-clean_1272_128104_000006_000003	2.946945905685425
dev-clean_1272_128104_000006_000008	-0.8827793002128601
dev-clean_1272_128104_000006_000009	-2.967756986618042
dev-clean_1272_128104_000007_000000	-2.5697953701019287
dev-clean_1272_128104_000007_000001	-2.308349132537842
dev-clean_1272_135031_000002_000000	2.465214490890503
dev-clean_1272_135031_000005_000000	2.573671579360962
dev-clean_1272_135031_000007_000001	-2.681108236312866
dev-clean_1272_135031_000008_000000	-2.779428720474243
dev-clean_1272_135031_000026_000002	-2.8400378227233887
dev-clean_1272_135031_000028_000000	-3.0365326404571533
dev-clean_1272_135031_000030_000000	-0.2305072546005249
dev-clean_1272_135031_000032_000000	-2.4953794479370117
dev-clean_1272_135031_000035_000000	2.8370232582092285
dev-clean_1272_135031_000035_000001	-1.7666507959365845
dev-clean_1272_135031_000036_000002	-2.48657488822937
dev-clean_1272_135031_000038_000000	-0.013715341687202454
dev-clean_1272_135031_000039_000000	0.47829121351242065
dev-clean_1272_135031_000041_000000	-2.6776938438415527
dev-clean_1272_135031_000043_000000	2.059840202331543
dev-clean_1272_135031_000044_000000	2.630197286605835
dev-clean_1272_135031_000045_000002	-2.9116601943969727
dev-clean_1272_135031_000047_000000	2.599987745285034
dev-clean_1272_135031_000051_000000	0.03426699340343475
dev-clean_1272_135031_000052_000000	2.037665843963623
dev-clean_1272_135031_000052_000001	-2.908643960952759
dev-clean_1272_135031_000053_000000	-0.6676688194274902
dev-clean_1272_135031_000053_000002	-2.7893600463867188
dev-clean_1272_135031_000054_000000	-2.7764694690704346
dev-clean_1272_135031_000055_000000	-2.932659149169922
